,Health Service Delivery Area,Year,Gender,<1,04-Jan,09-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,Total
0,British Columbia,2016,M,22997,93211,121341,119586,140451,170968,159609,162416,155936,151311,161823,172367,172667,156654,139068,99527,69574,49268,28898,13366,2361038
0,British Columbia,2016,F,21760,88300,112777,112424,132226,156161,159389,166826,157628,154187,166603,179295,178878,159977,142469,103484,77160,57639,40789,28648,2396620
0,British Columbia,2016,T,44757,181511,234118,232010,272677,327129,318998,329242,313564,305498,328426,351662,351545,316631,281537,203011,146734,106907,69687,42014,4757658
11,East Kootenay,2016,M,358,1507,2058,1838,2179,1935,2055,2332,2527,2399,2465,2882,3337,3166,2961,2035,1428,931,522,242,39157
11,East Kootenay,2016,F,353,1439,2016,1811,2011,1767,2014,2290,2335,2260,2416,2927,3280,3032,2720,1974,1360,996,673,437,38111
11,East Kootenay,2016,T,711,2946,4074,3649,4190,3702,4069,4622,4862,4659,4881,5809,6617,6198,5681,4009,2788,1927,1195,679,77268
12,Kootenay Boundary,2016,M,319,1364,1903,1938,2076,1846,1640,2069,2467,2508,2569,2850,3376,3589,3218,2221,1510,974,595,283,39315
12,Kootenay Boundary,2016,F,276,1356,1755,1827,1919,1577,1668,2202,2402,2429,2486,2921,3517,3440,3111,2074,1540,1137,755,556,38948
12,Kootenay Boundary,2016,T,595,2720,3658,3765,3995,3423,3308,4271,4869,4937,5055,5771,6893,7029,6329,4295,3050,2111,1350,839,78263
13,Okanagan,2016,M,1450,5917,8459,8368,9895,11199,9373,10168,10134,10192,11172,12444,14378,13609,13075,10100,7518,5533,3193,1394,177571
13,Okanagan,2016,F,1426,5663,8173,8102,9466,10662,9494,10540,10140,10267,11433,14239,15837,14619,13519,10434,8409,6111,4341,2887,185762
13,Okanagan,2016,T,2876,11580,16632,16470,19361,21861,18867,20708,20274,20459,22605,26683,30215,28228,26594,20534,15927,11644,7534,4281,363333
14,Thompson Cariboo,2016,M,1038,4248,5781,5560,6389,6929,6314,6544,6639,6629,7328,8425,9620,9103,8324,6098,4254,2816,1495,658,114192
14,Thompson Cariboo,2016,F,940,4000,5269,5376,6210,6020,6069,6548,6317,6458,7411,8768,9929,8821,7941,5800,4266,2947,1858,1242,112190
14,Thompson Cariboo,2016,T,1978,8248,11050,10936,12599,12949,12383,13092,12956,13087,14739,17193,19549,17924,16265,11898,8520,5763,3353,1900,226382
21,Fraser East,2016,M,1826,7232,9632,9248,9668,10538,9278,9957,9665,9628,9930,10394,10280,8916,8069,6068,4325,3053,1800,847,150354
21,Fraser East,2016,F,1665,6966,8670,8427,9129,9405,9174,10137,9614,9165,9564,10287,10311,9333,8521,6291,4787,3450,2636,1711,149243
21,Fraser East,2016,T,3491,14198,18302,17675,18797,19943,18452,20094,19279,18793,19494,20681,20591,18249,16590,12359,9112,6503,4436,2558,299597
22,Fraser North,2016,M,3685,13825,16962,16354,20427,26882,25043,24579,23517,22286,24397,25217,23286,19151,15361,10368,7537,5556,3119,1419,328971
22,Fraser North,2016,F,3426,13117,15535,15332,19116,24019,23715,25021,23934,23490,25795,26043,23772,19344,15930,11394,9075,6575,4546,3023,332202
22,Fraser North,2016,T,7111,26942,32497,31686,39543,50901,48758,49600,47451,45776,50192,51260,47058,38495,31291,21762,16612,12131,7665,4442,661173
23,Fraser South,2016,M,4536,19255,25045,25101,28689,31318,25340,26874,28201,27922,29008,29468,27768,23621,20097,14947,10130,6590,3889,1746,409545
23,Fraser South,2016,F,4239,17926,23269,23194,26258,27429,25706,28925,29442,29014,28996,29298,27315,23814,21291,15932,11299,8320,5829,4065,411561
23,Fraser South,2016,T,8775,37181,48314,48295,54947,58747,51046,55799,57643,56936,58004,58766,55083,47435,41388,30879,21429,14910,9718,5811,821106
31,Richmond,2016,M,920,3802,4643,5135,6754,8637,7684,6851,6363,6017,7284,8295,7885,7209,6231,3965,2777,2145,1212,479,104288
31,Richmond,2016,F,827,3813,4416,4798,6245,7771,7647,7205,6774,7270,8864,9463,8662,7344,6567,4185,3248,2541,1629,1039,110308
31,Richmond,2016,T,1747,7615,9059,9933,12999,16408,15331,14056,13137,13287,16148,17758,16547,14553,12798,8150,6025,4686,2841,1518,214596
32,Vancouver,2016,M,2728,9869,11738,12319,16081,27309,33960,32682,25925,22231,23817,23936,21307,18991,16557,10554,8173,6349,3854,1786,330166
32,Vancouver,2016,F,2630,9014,11062,11474,15639,27283,35374,32065,25122,23069,24983,24973,22303,19627,17191,11853,9712,7752,5631,4078,340835
32,Vancouver,2016,T,5358,18883,22800,23793,31720,54592,69334,64747,51047,45300,48800,48909,43610,38618,33748,22407,17885,14101,9485,5864,671001
33,North Shore/Coast Garibaldi,2016,M,1194,5430,8002,7808,8836,9082,7159,7635,8484,9551,10267,10814,10884,9750,8708,6570,4397,3142,2021,901,140635
33,North Shore/Coast Garibaldi,2016,F,1152,5040,7232,7561,8099,7738,7247,8567,9490,10066,10991,11476,11318,9905,8753,6916,5026,3867,2917,1960,145321
33,North Shore/Coast Garibaldi,2016,T,2346,10470,15234,15369,16935,16820,14406,16202,17974,19617,21258,22290,22202,19655,17461,13486,9423,7009,4938,2861,285956
41,South Vancouver Island,2016,M,1671,6695,8365,8063,9608,14905,12824,12859,12379,11729,12394,13029,13520,13525,12899,9211,6072,4639,2916,1646,188949
41,South Vancouver Island,2016,F,1618,6456,7847,7651,9587,14517,13019,12992,12243,11457,12406,13757,15214,14709,13936,9985,6945,5715,4540,3670,198264
